R1_PINH1	48.26	49.53	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB	116.84	50.80	270.00	100k	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2	89.02	32.52	270.00	2.2	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB	76.20	38.10	90.00	5k1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1	87.60	32.39	90.00	5k1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT	130.81	66.04	90.00	2k	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH	90.55	32.38	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1	33.02	63.50	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R3	156.21	59.69	0.00	0.47	ESP32_WROVER_EAGLE-LTSPICE_R0402
R4	153.67	19.05	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R5	124.46	59.69	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R6	151.63	64.00	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R7	27.16	121.31	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R8	46.00	121.41	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R9	84.83	32.39	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON1	63.50	121.64	180.00		MYBUTTON
RI_PINH	157.48	19.05	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_BOOT	83.09	32.52	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR	132.08	50.80	270.00	15	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE	116.84	64.77	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1	53.23	116.83	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET	60.10	121.41	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2	156.22	26.67	90.00	BME688	ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1	68.58	24.02	0.00		SJ
TP1	31.71	99.02	0.00	TPTP20R	TP20R
TP10	9.74	29.02	0.00	TPTP20R	TP20R
TP11	16.29	29.02	0.00	TPTP20R	TP20R
TP12	38.89	99.52	0.00	TPTP20R	TP20R
TP13	121.04	19.02	0.00	TPTP20R	TP20R
TP14	113.69	19.02	0.00	TPTP20R	TP20R
TP15	106.34	18.52	0.00	TPTP20R	TP20R
TP16	87.77	117.02	0.00	TPTP20R	TP20R
TP17	25.14	29.52	0.00	TPTP20R	TP20R
TP2	151.13	77.47	90.00	TPTP20R	TP20R
TP3	151.13	73.66	90.00	TPTP20R	TP20R
TP4	81.28	116.84	0.00	TPTP20R	TP20R
TP5	74.93	116.84	0.00	TPTP20R	TP20R
TP6	33.90	29.34	0.00	TPTP20R	TP20R
TP7	129.09	19.10	0.00	TPTP20R	TP20R
TP8	47.51	99.10	0.00	TPTP20R	TP20R
TP9	56.43	99.21	0.00	TPTP20R	TP20R
U2	15.70	68.58	90.00	ESP32-C6-WROOM-1-N8	XCVR_ESP32-C6-WROOM-1-N8
U3	85.09	68.58	270.00	DS3231SN#	SOIC127P1032X265-16N
U4	137.16	66.04	0.00	MAX17048G+T10	SON50P200X200X80-9N
U5	36.83	69.85	0.00	W25Q512JVEIQ	SON127P600X800X80-9N
